citation_key,year,first_author,title,mechanisms,study_environment,location_during_passage,outcome_timing,delayed_window_h,confidence,notes
1928_Evans,1928,Evans,Observations on the Physiology of the Swim Bladder in Cyprinoid Fishes,barotrauma,Lab - blade-strike rig,At strike plate / blade (rig),Immediate; Sublethal,,Mined,
1983_Feathers,1983,Feathers,Effects of Depressurization Upon Largemouth Bass,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed,,Mined,
1983_Ruggles,1983,Ruggles,Fish response to spillways,shear,Review / synthesis,Various / not applicable,Immediate; Delayed; Sublethal; Indirect,,Mined,
1999_Cada,1999,Cada,Exploring the Role of Shear Stress and Severe Turbulence in Downstream Fish Passage,shear,Review / synthesis,Various / not applicable,Sublethal; Indirect,,Mined,
1999_Odeh,1999,Odeh,A summary of environmentally friendly turbine design concepts,shear,Review / synthesis,Various / not applicable,Immediate; Delayed,,Mined,
2000_Abernethy,2000,Abernethy,Laboratory Studies of the Effects of pressure and dissolved gases on fish,barotrauma,Lab - other apparatus,In lab apparatus (other),Immediate; Delayed; Sublethal; Indirect,,Mined,
2000_Coutant,2000,Coutant,Fish Behavior in Relation to Passage through Hydropower Turbines A Review,collision,Review / synthesis,Various / not applicable,Sublethal; Indirect,,Mined,
2000_DOE,2000,DOE,Shear on fish,shear,Lab - shear jet/flume,In shear jet/flume,Immediate; Delayed; Sublethal; Indirect,48,Mined,
2000_Neitzel,2000,Neitzel,Laboratory Studies on the Effects of Shear on Fish,shear,Lab - shear jet/flume,In shear jet/flume,Immediate; Delayed; Sublethal; Indirect,48,Mined,
2002_Abernathy,2002,Abernathy,Simulated passage through a modified Kaplan turbine pressure regime,barotrauma,Lab - other apparatus,In lab apparatus (other),Immediate; Delayed; Sublethal,48,Mined,
2002_Odeh,2002,Odeh,Evaluation of the effects of turbulence on the behavior of migratory fish,shear,Lab - other apparatus,In lab apparatus (other),Immediate; Delayed; Sublethal; Latent / long-term; Indirect,48,Mined,
2003_Abernethy,2003,Abernethy,Fish Passage Through a Simulated Bulb Turbine Pressure Regime,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,,Mined,
2003_Becker,2003,Becker,Idendifying the effects on fish of changes in water pressure during turbine passage,barotrauma,Lab - other apparatus,In lab apparatus (other),Immediate; Delayed; Sublethal; Indirect,,Mined,
2004_Neitzel,2004,Neitzel,Survival estimates for juvenile fish subjected to a laboratory-generated shear environment,shear,Lab - shear jet/flume,In shear jet/flume,Immediate,,Mined,low-text PDF
2004_Ploskey,2004,Ploskey,Comparison of blade-strike modeling results with empirical data,collision,Numerical / CFD model,Stay vanes; Wicket / guide gates; Turbine runner; Draft tube,Immediate; Delayed; Sublethal,48,Mined,
2005_Deng,2005,Deng,Evaluation of fish-injury mechanisms during exposure to turbulent shear flow,shear,Lab - shear jet/flume,In shear jet/flume,Immediate; Delayed; Sublethal,96,Mined,
2005_Dengb,2005,Deng,Evaluation of blade strike models for estimating the biological peformance of large kaplan hydro turbines,collision,Physical model / test rig,Modelled flow path,Sublethal,,Mined,
2006_Cada,2006,Cada,Efforts to Reduce Mortality to Hydroelectric Turbine-Passed Fish Locating and Quantifying Damaging Shear Stresses,shear,Review / synthesis,Various / not applicable,Immediate; Delayed; Sublethal; Indirect,48,Mined,
2007_Brown,2007,Brown,Assessment of Barotrauma Resulting from Rapid Decompression of Depth Acclimated Juvenile Chinook Salmon Bearing Radio,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Indirect,48,Mined,
2007_Dauble,2007,Dauble,"Biological assessment of the advanced turbine design at Wanapum Dam, 2005",collision,Field - Kaplan turbine,Whole-route (not localised),Immediate; Sublethal,,Mined,
2007_Dengb,2007,Deng,Evaluation of blade-strike models for estimating the biological performance of Kaplan turbines,collision,Numerical / CFD model,Intake; Trash rack / screen; Turbine runner; Draft tube,Delayed; Sublethal,48,Mined,
2007_McKinstry,2007,McKinstry,Derivation of a Mortal Injury Metric for Studies of Rapid Decompression of Depth-Acclimated Physostomous Fish,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Latent / long-term,,Mined,
2008_Ferguson,2008,Ferguson,Combining turbine blade-strike and life cycle models to assess mitigation strategies for fish passing dams,collision,Numerical / CFD model,Turbine runner,Latent / long-term,,Mined,
2009_Brown,2009,Brown,Assessment of barotrauma from rapid decompression of depth-acclimated juvenile chinook salmon bearing radtiotelemetry,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Indirect,48,Mined,
2009_Dobriloff,2009,Dobriloff,Surface Pressure and Wall Shear Stress Measurements on a Wall Mounted Cylinder,shear,Lab - other apparatus,In lab apparatus (other),Immediate,,Mined,
2009_Normandeau,2009,Normandeau,Shad movement and mortality,barotrauma; collision,Field - bulb/propeller turbine,Whole-route (not localised),Immediate; Delayed; Sublethal; Latent / long-term,48,Mined,
2009_Richmond,2009,Richmond,Response relationships between juvenile salmon and an autonomous sensor in turbulent flow,shear,Lab - shear jet/flume,In shear jet/flume,Immediate; Delayed; Sublethal; Indirect,,Mined,
