citation_key,Year,First author,Title,Source folder,Role,Metric(s) used,Reproducibility %,Tier
1928_Evans,1928,Evans,Observations on the Physiology of the Swim Bladder in Cyprinoid Fishes,Lab,Foundational,neutral-buoyancy/acclimation depth,n/a,
1983_Feathers,1983,Feathers,Effects of Depressurization Upon Largemouth Bass,Lab,Live-fish LAB,,30,Low
2000_Abernethy,2000,Abernethy,Laboratory Studies of the Effects of pressure and dissolved gases on fish,Lab,Live-fish LAB,nadir pressure,70,Medium
2002_Abernathy,2002,Abernathy,Simulated passage through a modified Kaplan turbine pressure regime,Lab,Live-fish LAB,nadir pressure,60,Medium
2003_Abernethy,2003,Abernethy,Fish Passage Through a Simulated Bulb Turbine Pressure Regime,Lab,Live-fish LAB,nadir pressure,70,Medium
2003_Becker,2003,Becker,Idendifying the effects on fish of changes in water pressure during turbine passage,Lab,Live-fish LAB,nadir pressure,70,Medium
2007_Brown,2007,Brown,Assessment of Barotrauma Resulting from Rapid Decompression of Depth Acclimated Juvenile Chinook Salmon Bearing Radio,Lab,Live-fish LAB,nadir pressure,70,Medium
2007_McKinstry,2007,McKinstry,Derivation of a Mortal Injury Metric for Studies of Rapid Decompression of Depth-Acclimated Physostomous Fish,Lab,Live-fish LAB,nadir pressure; mortal-injury index,50,Medium
2009_Brown,2009,Brown,Assessment of barotrauma from rapid decompression of depth-acclimated juvenile chinook salmon bearing radtiotelemetry,Lab,Live-fish LAB,nadir pressure,70,Medium
2009_Normandeau,2009,Normandeau,Shad movement and mortality,Field,Live-fish FIELD,,62,Medium
2010_Stephenson,2010,Stephenson,Assessing barotrauma in neutrally and negatively buoyant juvenile salmonids exposed to simulated hydro-turbine,Lab,Live-fish LAB,nadir pressure; mortal-injury index,90,High
2011_Boyd,2011,Boyd,Efficacy of Single‐Suture Incision Closures in Tagged Juvenile Chinook Salmon Exposed to Simulated Turbine Passage,Lab,Live-fish LAB,nadir pressure; mortal-injury index,80,High
