citation_key,year,first_author,title,role,metric,reproducibility_pct,reproducibility_tier
2000_Coutant,2000,Coutant,Fish Behavior in Relation to Passage through Hydropower Turbines A Review,Review (behaviour/strike),collision/strike (described),,
2004_Ploskey,2004,Ploskey,Comparison of blade-strike modeling results with empirical data,Modeling (blade-strike model),strike probability; strike velocity; leading-edge geometry; blade-strike model; mutilation rate,,
2005_Dengb,2005,Deng,Evaluation of blade strike models for estimating the biological peformance of large kaplan hydro turbines,Modeling (blade-strike model),strike probability; leading-edge geometry; blade-strike model; mutilation rate,,
2007_Dauble,2007,Dauble,"Biological assessment of the advanced turbine design at Wanapum Dam, 2005",live-fish field,strike probability; blade/leading-edge geometry (L/t); mutilation/injury rate,80,High
2007_Dengb,2007,Deng,Evaluation of blade-strike models for estimating the biological performance of Kaplan turbines,Modeling (blade-strike model),strike probability; particle/DEM collision model; leading-edge geometry; blade-strike model; mutilation rate,,
2008_Ferguson,2008,Ferguson,Combining turbine blade-strike and life cycle models to assess mitigation strategies for fish passing dams,Modeling (blade-strike + life cycle),strike probability; leading-edge geometry; blade-strike model,,
2009_Normandeau,2009,Normandeau,Shad movement and mortality,live-fish field,blade/leading-edge geometry (L/t),80,High
200x_Dixon,200x,Dixon,EPRI-Designing-leading-edges-of-turbine-blades-to-increase-fish-survival-from-blade-strike,live-fish simulated,strike probability; strike velocity; blade/leading-edge geometry (L/t),50,Medium
2011_Amaralb,2011,Amaral,Designing leading edges of turbine blades to increase fish survival from blade strike,live-fish simulated,strike probability; strike velocity; blade/leading-edge geometry (L/t),50,Medium
2011_Amaral,2011,Amaral,Estimating total passage survival for fish migrating downstream at hydropower projects-amaral,Review (passage-survival estimation),strike probability; strike velocity; leading-edge geometry; blade-strike model,,
2011_EPRI,2011,EPRI,Evaluation of Fish Injury and Mortality Associated with Hydrokinetic Turbines,Review (hydrokinetic injury),strike probability; strike velocity; leading-edge geometry; blade-strike model,,
2012_Normandeau,2012,Normandeau,Estimation of survival of adult American shad passed through Francis and Kaplan turbines,live-fish field,blade/leading-edge geometry (L/t),90,High
2012_vanEsch,2012,vanEsch,Fish injury and mortality during passage through pumping stations,Modeling (strike+shear CFD),strike probability; strike velocity; leading-edge geometry; blade-strike model; mutilation rate,,
2013_Richmond,2013,Richmond,Simulating Collisions for Hydrokinetic Turbines,Modeling (collision/DEM),strike probability; particle/DEM collision model; strike velocity; leading-edge geometry; blade-strike model,,
2014_Richmondb,2014,Richmond,Fish passage through hydropower turbines Simulating blade strike using the discrete element method,Modeling (collision/DEM),strike probability; particle/DEM collision model; strike velocity; leading-edge geometry; blade-strike model,,
2014_Romero-Gomez,2014,Romero-Gomez,Simulating blade-strike on fish passing through marine hydrokinetic turbines,Modeling (blade-strike CFD),strike probability; particle/DEM collision model; strike velocity; leading-edge geometry; blade-strike model,,
2014_vanEsch,2014,vanEsch,Validation of a model to predict fish passage mortality in pumping stations,Modeling (strike+shear model),strike probability; strike velocity; leading-edge geometry; blade-strike model; mutilation rate,,
2017_Bevelheimer,2017,Bevelheimer,An overview of experimental efforts to understand the mechanisms of fish injury and mortality caused by,Review (strike mechanisms),leading-edge geometry; blade-strike model,,
2018_Amaral,2018,Amaral,Survival of fish passing downstream at a small hydropower facility,live-fish field,strike probability; strike velocity; blade/leading-edge geometry (L/t),40,Low
