citation_key,year,first_author,title,study_type,doi,local_filename
1967_Bell,1967,Bell,A compendium of fish and small hydropower passage,Review,,1967_Bell_Review_A compendium of fish and small hydropower passage.pdf
1981_Turbak,1981,Turbak,Analysis of environmental issues related to small-scale hydroelectric development IV fish mortality resulting from,Review,,1981_Turbak_Review_Analysis of environmental issues related to small-scale hydroelectric development IV fish mortality resulting from.pdf
1983_Ruggles,1983,Ruggles,Fish response to spillways,Review,,1983_Ruggles_Review_Fish response to spillways.pdf
1996_Lewis,1996,Lewis,Effects of Underwater Explosions on Life in the Sea,Review,,1996_Lewis_Review_Effects of Underwater Explosions on Life in the Sea.pdf
1999_Cada,1999,Cada,Exploring the Role of Shear Stress and Severe Turbulence in Downstream Fish Passage,Review,,1999_Cada_Review_Exploring the Role of Shear Stress and Severe Turbulence in Downstream Fish Passage.pdf
1999_Odeh,1999,Odeh,A summary of environmentally friendly turbine design concepts,Review,,1999_Odeh_Review_A summary of environmentally friendly turbine design concepts.pdf
2000_Coutant,2000,Coutant,Fish Behavior in Relation to Passage through Hydropower Turbines A Review,Review,,2000_Coutant_Review_Fish Behavior in Relation to Passage through Hydropower Turbines A Review.pdf
2001_Cada,2001,Cada,The development of advanced hydroelectric turbines to improve fish passage survival,Review,,2001_Cada_Review_The development of advanced hydroelectric turbines to improve fish passage survival.pdf
2003_Weiland,2003,Weiland,Technologies for fish passage,Review,,2003_Weiland_Review_Technologies for fish passage.pdf
2004_Avellan,2004,Avellan,Introduction to cavitation in hydraulc machinery,Review,,2004_Avellan_Review_Introduction to cavitation in hydraulc machinery.pdf
2006_Cada,2006,Cada,Efforts to Reduce Mortality to Hydroelectric Turbine-Passed Fish Locating and Quantifying Damaging Shear Stresses,Review,10.1007/s00267-005-0061-1,2006_Cada_Review_Efforts to Reduce Mortality to Hydroelectric Turbine-Passed Fish Locating and Quantifying Damaging Shear Stresses.pdf
2007_Schilt,2007,Schilt,Developing fish passage and protection at hydropower dams,Review,10.1016/j.applanim.2006.09.004,2007_Schilt_Review_Developing fish passage and protection at hydropower dams.pdf
2011_Amaral,2011,Amaral,Estimating total passage survival for fish migrating downstream at hydropower projects-amaral,Review,,2011_Amaral_Review_Estimating total passage survival for fish migrating downstream at hydropower projects-amaral.pdf
2011_Cada,2011,Cada,Determining the Best Methods for Reducing Fish Mortality,Review,,2011_Cada_Review_Determining the Best Methods for Reducing Fish Mortality.pdf
