citation_key,Year,First author,Title,Type,C1 Species+stage+size,C2 Sample size (n),C3 Acclim. pressure/depth,C4 Acclim. duration,C5 Exposure/nadir quantified,C6 Pressure-change metric defined,C7 Injury scoring protocol,C8 Holding/recovery & delayed,C9 Controls,C10 Stats/dose-response,Reproducibility %,Tier,Metric(s),Pressures reported (kPa)
2020_Pauwels,2020,Pauwels,"Multi-Species Assessment of Injury, Mortality, and Physical Conditions during Downstream Passage through a Large",FIELD,Y,Y,NA,NA,Y,Y,—,Y,Y,Y,88,High,RPC; nadir pressure,"0.001, 0.002, 0.1, 100.0, 112.4, 116.7, 200, 550"
2022_Mueller,2022,Mueller,Experimental comparison of fish mortality and injuries at innovative and conventional small hydropower plants,FIELD,Y,Y,NA,NA,—,Y,Y,Y,Y,Y,88,High,RPC,
2012_Normandeau,2012,Normandeau,Estimation of survival of adult American shad passed through Francis and Kaplan turbines,FIELD,Y,Y,NA,NA,—,—,Y,Y,Y,Y,75,Medium,,
2018_Normandeau,2018,Normandeau,"Biological Fish Injury and Survival Evaluation at the Regulating Outlet of Cougar Dam, Oregon",FIELD,Y,Y,NA,NA,—,—,Y,Y,Y,Y,75,Medium,,
2009_Normandeau,2009,Normandeau,Shad movement and mortality,FIELD,Y,Y,NA,NA,—,—,Y,Y,Y,—,62,Medium,,
2020_Mueller,2020,Mueller,Assessing turbine passage effects on internal fish injury and delayed mortality using X-ray imaging,FIELD,Y,Y,NA,NA,—,—,Y,Y,Y,—,62,Medium,,
2023_Pedron,2023,Pedron,Fish injuries resulting from transient operating conditions in a Brazilian hydropower plant,FIELD,—,Y,NA,NA,—,—,Y,Y,—,—,38,Low,mortal-injury index,
2012_Brownb,2012,Brown,Quantifying Mortal Injury of Juvenile Chinook Salmon Exposed to Simulated Hydro-Turbine Passage,LAB,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,100,High,RPC; LRP; nadir pressure; mortal-injury index,"2, 10.3, 13.8, 19.3, 44.1, 62, 68.9, 101.4"
2012_Carlsonb,2012,Carlson,The Influence of Tag Presence on the Mortality of Juvenile Chinook Salmon Exposed to Simulated Hydroturbine Passage,LAB,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,100,High,RPC; LRP; nadir pressure; mortal-injury index,"46.9, 60, 101.3, 130.9, 144.4, 146.1, 200, 200.5"
2016_Brown,2016,Brown,A preliminary assessment of barotrauma injuries and acclimation studies for three fish species,LAB,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,100,High,RPC; LRP; nadir pressure; mortal-injury index,"0, 2.8, 3.4, 4.0, 4.1, 7.2, 9.5, 10.2"
